Library,Issue link,id,Buggy API,Bug Type,Release,Created Time,Agreement(round 2),Description,
pytorch,https://github.com/pytorch/pytorch/issues/49178,1,torch.addcmul,feature request,1.7.1,2020-12-10T19:05:59Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/48900,1,torch.addmm,inconsistent result,1.7.0,2020-12-06T17:36:49Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/71784,1,torch.addmm,AssertionError,1.11.0,2022-01-25T22:21:52Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/76778,1,torch.addmv,backward fail,1.11.0,2022-05-04T00:28:15Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/74329,1,torch.addr,wrong dtype,1.11.0,2022-03-16T20:13:06Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/76785,1,torch.addr,backward fail,1.11.0,2022-05-04T02:31:27Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/73738,1,torch.ao.quantization.ReuseInputObserver,inconsistent result,1.11.0,2022-03-03T14:44:46Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/63405,1,torch.arange,RuntimeError,1.9.1,2021-08-17T17:07:17Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/75465,1,torch.arange,feature request,1.6.0,2022-04-07T21:58:48Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/55629,1,torch.arctanh,RuntimeError,1.7.1,2021-04-08T18:25:41Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/71477,1,torch.argsort,IndexError,1.10.1,2022-01-19T15:51:54Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/54139,1,torch.as_tensor,inconsistent result,1.9.0,2021-03-17T11:11:38Z,,,Wenhao
pytorch,https://github.com/pytorch/pytorch/issues/49394,1,torch.as_tensor,memory leak,1.7.1,2020-12-15T06:19:09Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/54578,1,torch.autograd.grad,RuntimeError,1.8.0,2021-03-24T07:16:59Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/76798,1,torch.autograd.gradcheck,INTERNAL ASSERT FAILED,1.11.0,2022-05-04T08:22:17Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/78346,1,torch.autograd.gradcheck,RuntimeError,1.11.0,2022-05-26T07:35:05Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/77230,1,torch.autograd.gradcheck,fail,1.11.0,2022-05-11T04:11:59Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/76783,1,torch.autograd.gradcheck,backward fail,1.11.0,2022-05-04T02:02:09Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/51279,1,torch.autograd.profiler.profile,performance bug,1.7.0,2021-01-28T11:17:18Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/80588,1,torch.baddbmm,inconsistent result,1.11.0,2022-06-30T03:54:25Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/78143,1,torch.baddbmm,check failure,1.11.0,2022-05-24T00:50:01Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/76785,1,torch.baddmm,backward fail,1.11.0,2022-05-04T02:31:27Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/70901,1,torch.batch_norm_gather_stats_with_counts,inconsistent result, 1.10.1,2022-01-06T08:53:29Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/75458,1,torch.bfloat16,crash,1.11.0,2022-04-07T20:28:28Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/78122,1,torch.bincount,Segmentation fault,1.11.0,2022-05-23T20:50:38Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/49520,1,torch.bincount,Segmentation fault,1.5.0,2020-12-17T00:50:14Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/70347,1,torch.BoolTensor,IndexError,1.10.1,2021-12-23T11:59:04Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/70398,1,torch.broadcast_to,RuntimeError,1.10.1,2021-12-25T07:21:20Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/57418,1,torch.cat,performance bug,1.8.1,2021-05-01T18:02:56Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/77894,1,torch.channel_shuffle,Floating point exception,1.11.0,2022-05-19T21:22:46Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/71084,1,torch.cholesky,error,1.10.1,2022-01-10T08:38:16Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/71082,1,torch.combinations,performance bug,1.10.1,2022-01-10T08:28:08Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/53623,1,torch.cuda,AssertionError,1.9.0,2021-03-09T17:27:10Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/65528,1,torch.cuda,RuntimeError,1.9.1,2021-09-23T11:05:50Z,0,not fuzzable?,
pytorch,https://github.com/pytorch/pytorch/issues/52145,1,torch.cuda.init,hang,1.7.1,2021-02-11T16:10:23Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/50829,1,torch.cuda.is_initialized,RuntimeError,1.7.1,2021-01-20T19:13:49Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/51644,1,torch.cuda.memory_allocated,Segmentation fault,1.7.0,2021-02-03T16:53:23Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/69688,1,torch.cuda.set_per_process_memory_fraction,inconsistent result,1.8.2,2021-12-09T16:54:34Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/70490,1,torch.cuda.set_sync_debug_mode,SystemError,1.10.0,2021-12-29T13:54:49Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/73832,1,torch.cuda.sparse.FloatTensor,inconsistent result,1.11.0,2022-03-06T04:10:45Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/71477,1,torch.cummax,IndexError,1.10.1,2022-01-19T15:51:54Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/71477,1,torch.cummin,IndexError,1.10.1,2022-01-19T15:51:54Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/75733,1,torch.cumprod,INTERNAL ASSERT FAILED,1.11.0,2022-04-13T14:27:35Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/76786,1,torch.cumprod,backward fail,1.11.0,2022-05-04T02:35:22Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/75733,1,torch.cumsum,INTERNAL ASSERT FAILED,1.11.0,2022-04-13T14:27:35Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/71204,1,torch.diag,RuntimeError,1.10.1,2022-01-12T08:41:06Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/76785,1,torch.dist,backward fail,1.11.0,2022-05-04T02:31:27Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/51429,1,torch.distributed.init_process_group,hang,1.7.1,2021-01-31T14:09:09Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/70155,1,torch.distributed.init_process_group,RuntimeError,1.10.0,2021-12-18T16:48:24Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/80022,1,torch.distributed.all_to_all_single,memory leak,1.10.0,2022-06-22T09:24:49Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/53658,1,torch.distributed.barrier,hang,1.8.0,2021-03-09T22:20:50Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/71049,1,torch.distributed.boradcast,RuntimeError,1.10.1,2022-01-08T05:49:44Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/62314,1,torch.distributed.destroy_process_group,inconsistent result,1.8.1,2021-07-28T08:23:11Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/74809,1,torch.distributed.gather,inconsistent result,1.11.0,2022-03-27T13:53:47Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/67241,1,torch.distributed.init_process_group,hang,1.9.0,2021-10-26T03:31:10Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/74666,1,torch.distributed.init_process_group,hang,1.11.0,2022-03-24T05:56:04Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/74146,1,torch.distributed.init_process_group,RuntimeError,1.10.0,2022-03-13T11:56:36Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/72835,1,torch.distributed.init_process_group,hang,1.10.2,2022-02-15T00:35:42Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/75512,1,torch.distributed.isend,RuntimeError,1.12.0,2022-04-08T13:44:31Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/72346,1,torch.distributed.new_group,RuntimeError,1.10.2,2022-02-04T18:35:27Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/58005,1,torch.distributed.torch.nn.all_reduce,inconsistent result,1.8.1,2021-05-11T00:28:20Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/73515,1,torch.distributed.torch.nn.functional.all_gather,RuntimeError,1.10.2,2022-02-28T16:28:24Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/60440,1,torch.distributed.optim.DistributedOptimizer,error,1.9.0,2021-06-22T06:09:04Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/80017,1,torch.distributed.rpc.init_rpc,crash,1.11.0,2022-06-22T07:06:01Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/74602,1,torch.distributed.scatter_object_list,RuntimeError,1.10.0,2022-03-23T06:14:44Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/72258,1,torch.distributions,NotImplementedError,1.8.0,2022-02-03T15:35:18Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/61727,1,torch.distributions.Categorical,inconsistent result,1.7.0,2021-07-15T20:17:57Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/71689,1,torch.distributions.categorical.Categorical,RuntimeError,1.10.1,2022-01-24T02:08:52Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/71414,1,torch.distributions.Gamma,inconsistent result,1.9.0,2022-01-18T17:19:37Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/79191,1,torch.distributions.log_prob,RuntimeError,1.11.0,2022-06-09T07:08:12Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/75173,1,torch.distributions.lowrank_multivariate_normal.LowRankMultivariateNormal,RuntimeError,1.8.1,2022-04-04T06:42:24Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/79349,1,torch.distributions.MultivariateNormal,inconsistent result,1.11.0,2022-06-11T12:28:15Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/74634,1,torch.distributions.Normal,inconsistent result, 1.8.0,2022-03-23T20:22:57Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/73504,1,torch.div,RuntimeError,1.10.1,2022-02-28T12:52:37Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/77742,1,torch.div,inconsistent result,1.11.0,2022-05-18T14:09:33Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/51941,1,torch.dtype,RuntimeError,1.8.0,2021-02-09T05:10:35Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/57121,1,torch.einsum,performance bug,1.9.0,2021-04-28T12:28:23Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/77397,1,torch.einsum,inconsistent result,1.11.0,2022-05-13T01:27:22Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/70397,1,torch.empty_strided,RuntimeError,1.10.1,2021-12-25T04:58:50Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/69931,1,torch.exp,performance bug,1.10.0,2021-12-14T21:56:39Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/71321,1,torch.fft.fft,inconsistent result,1.10.1,2022-01-14T19:39:43Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/71321,1,torch.fft.ifft,inconsistent result,1.10.1,2022-01-14T19:39:43Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/71321,1,torch.fft.ifft2,inconsistent result,1.10.1,2022-01-14T19:39:43Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/64138,1,torch.FloatTensor,inconsistent result,1.9.0,2021-08-28T19:20:01Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/77631,1,torch.fmax,RuntimeError,1.11.0,2022-05-17T07:30:27Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/77631,1,torch.fmin,RuntimeError,1.11.0,2022-05-17T07:30:27Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/73469,1,torch.fx.GraphModule,TypeError,1.11.0,2022-02-26T07:16:24Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/70892,1,torch.fx.symbolic_trace,memory leak,1.10.0,2022-01-06T06:46:34Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/78435,1,torch.fx.Tracer,TypeError,1.10.2,2022-05-27T21:33:23Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/74901,1,torch.fx.wrap,AssertionError,1.11.0,2022-03-29T07:50:03Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/53491,1,torch.gather,performance bug,1.7.1,2021-03-08T04:00:05Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/73504,1,torch.ge,RuntimeError,1.10.1,2022-02-28T12:52:37Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/70502,1,torch.get_autocast_cpu_dtype,inconsistent result,1.10.1,2021-12-29T18:14:24Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/78125,1,torch.grid_sampler_3d,Segmentation fault,1.11.0,2022-05-23T20:57:10Z,,,
